"","year","state","district","candidate","party","candidatevotes","totalvotes"
"24037",2012,"Alabama",1,NA,NA,4302,200676
"24038",2012,"Alabama",1,"Jo Bonner","republican",196374,200676
"24039",2012,"Alabama",2,"Therese Ford","democrat",103092,283953
"24040",2012,"Alabama",2,NA,NA,270,283953
"24041",2012,"Alabama",2,"Martha Roby","republican",180591,283953
"24042",2012,"Alabama",3,"Mike Rogers","republican",175306,273930
"24043",2012,"Alabama",3,"John Andrew Harris","democrat",98141,273930
"24044",2012,"Alabama",3,NA,NA,483,273930
"24045",2012,"Alabama",4,"Daniel H. Boman","democrat",69706,269118
"24046",2012,"Alabama",4,NA,NA,341,269118
"24047",2012,"Alabama",4,"Robert B. Aderholt","republican",199071,269118
"24048",2012,"Alabama",5,NA,NA,336,291293
"24049",2012,"Alabama",5,"Charlie L. Holley","democrat",101772,291293
"24050",2012,"Alabama",5,"Mo Brooks","republican",189185,291293
"24051",2012,"Alabama",6,"Penny H. Bailey","democrat",88267,308102
"24052",2012,"Alabama",6,NA,NA,573,308102
"24053",2012,"Alabama",6,"Spencer Bachus","republican",219262,308102
"24054",2012,"Alabama",7,"Don Chamberlain","republican",73835,306558
"24055",2012,"Alabama",7,"Terri A. Sewell","democrat",232520,306558
"24056",2012,"Alabama",7,NA,NA,203,306558
"24057",2012,"Alaska",0,"Jim C. McDermott","libertarian",15028,289804
"24058",2012,"Alaska",0,NA,NA,964,289804
"24059",2012,"Alaska",0,"Don Young","republican",185296,289804
"24060",2012,"Alaska",0,"Ted Gianoutsos","nominated by petition",5589,289804
"24061",2012,"Alaska",0,"Sharon M. Cissna","democrat",82927,289804
"24062",2012,"Arizona",1,"Kim Allen","libertarian",15227,251595
"24063",2012,"Arizona",1,"Ann Kirkpatrick","democrat",122774,251595
"24064",2012,"Arizona",1,"Jonathan Paton","republican",113594,251595
"24065",2012,"Arizona",2,"Martha McSally","republican",144884,292279
"24066",2012,"Arizona",2,"Ron Barber","democrat",147338,292279
"24067",2012,"Arizona",2,NA,NA,57,292279
"24068",2012,"Arizona",3,"Ra_l M. Grijalva","democrat",98468,168698
"24069",2012,"Arizona",3,"Blanca Guerra","libertarian",7567,168698
"24070",2012,"Arizona",3,"Gabriela Saucedo Mercer","republican",62663,168698
"24071",2012,"Arizona",4,"Richard Grayson","americans elect",2393,243760
"24072",2012,"Arizona",4,"Joe Pamelia","libertarian",9306,243760
"24073",2012,"Arizona",4,"Johnnie Robinson","democrat",69154,243760
"24074",2012,"Arizona",4,"Paul A. Gosar","republican",162907,243760
"24075",2012,"Arizona",5,"Matt Salmon","republican",183470,273059
"24076",2012,"Arizona",5,"Spencer Morgan","democrat",89589,273059
"24077",2012,"Arizona",6,"Mark Salazar","green",5637,293177
"24078",2012,"Arizona",6,"Jack Anderson","libertarian",10167,293177
"24079",2012,"Arizona",6,NA,NA,1,293177
"24080",2012,"Arizona",6,"David Schweikert","republican",179706,293177
"24081",2012,"Arizona",6,"Matt Jette","democrat",97666,293177
"24082",2012,"Arizona",7,"Joe Cobb","libertarian",23338,127827
"24083",2012,"Arizona",7,"Ed Pastor","democrat",104489,127827
"24084",2012,"Arizona",8,"Gene Scharer","democrat",95635,272791
"24085",2012,"Arizona",8,"Stephen Dolgos","americans elect",4347,272791
"24086",2012,"Arizona",8,"Trent Franks","republican",172809,272791
"24087",2012,"Arizona",9,"Vernon B. Parker","republican",111630,250131
"24088",2012,"Arizona",9,"Powell Gammill","libertarian",16620,250131
"24089",2012,"Arizona",9,"Kyrsten Sinema","democrat",121881,250131
"24090",2012,"Arkansas",1,"Jessica Paxton","libertarian",6427,246843
"24091",2012,"Arkansas",1,"Jacob Holloway","green",5015,246843
"24092",2012,"Arkansas",1,"Eric A. """"Rick"""" Crawford","republican",138800,246843
"24093",2012,"Arkansas",1,"Scott Ellington","democrat",96601,246843
"24094",2012,"Arkansas",2,"Tim Griffin","republican",158175,286598
"24095",2012,"Arkansas",2,"Herb Rule","democrat",113156,286598
"24096",2012,"Arkansas",2,"Chris Hayes","libertarian",6701,286598
"24097",2012,"Arkansas",2,"Barbara Ward","green",8566,286598
"24098",2012,"Arkansas",3,"David Pangrac","libertarian",19875,245660
"24099",2012,"Arkansas",3,"Steve Womack","republican",186467,245660
"24100",2012,"Arkansas",3,"Rebekah J. Kennedy","green",39318,245660
"24101",2012,"Arkansas",4,"Tom Cotton","republican",154149,258953
"24102",2012,"Arkansas",4,"J. Joshua Drake","green",4807,258953
"24103",2012,"Arkansas",4,"Bobby Tullis","libertarian",4984,258953
"24104",2012,"Arkansas",4,"Gene Jeffress","democrat",95013,258953
"24105",2012,"California",1,"Jim Reed","democrat",125386,294213
"24106",2012,"California",1,"Doug La Malfa","republican",168827,294213
"24107",2012,"California",2,"Jared Huffman","democrat",226216,317526
"24108",2012,"California",2,"Daniel W. Roberts","republican",91310,317526
"24109",2012,"California",3,"Kim Vann","republican",107086,233968
"24110",2012,"California",3,"John Garamendi","democrat",126882,233968
"24111",2012,"California",4,"Tom McClintock","republican",197803,323688
"24112",2012,"California",4,"Jack Uppal","democrat",125885,323688
"24113",2012,"California",5,"Randy Loftin","republican",69545,272417
"24114",2012,"California",5,"Mike Thompson","democrat",202872,272417
"24115",2012,"California",6,"Doris O. Matsui","democrat",160667,214073
"24116",2012,"California",6,"Joseph McCray, Sr.","republican",53406,214073
"24117",2012,"California",7,"Daniel E. Lungren","republican",132050,273291
"24118",2012,"California",7,"Ami Bera","democrat",141241,273291
"24119",2012,"California",8,"Gregg Imus","republican",76551,179644
"24120",2012,"California",8,"Paul Cook","republican",103093,179644
"24121",2012,"California",9,"Ricky Gill","republican",94704,213077
"24122",2012,"California",9,"Jerry McNerney","democrat",118373,213077
"24123",2012,"California",10,"Jeff Denham","republican",110265,209199
"24124",2012,"California",10,"Jose Hernandez","democrat",98934,209199
"24125",2012,"California",11,"George Miller","democrat",200743,287879
"24126",2012,"California",11,"Virginia Fuller","republican",87136,287879
"24127",2012,"California",12,"John Dennis","republican",44478,298187
"24128",2012,"California",12,"Nancy Pelosi","democrat",253709,298187
"24129",2012,"California",13,"Barbara Lee","democrat",250436,288582
"24130",2012,"California",13,"Marilyn M. Singleton","none",38146,288582
"24131",2012,"California",14,"Deborah ??Debbie?? Bacigalupi","republican",54455,258283
"24132",2012,"California",14,"Jackie Speier","democrat",203828,258283
"24133",2012,"California",15,"Fortney Pete Stark","democrat",110646,231034
"24134",2012,"California",15,"Eric Swalwell","democrat",120388,231034
"24135",2012,"California",16,"Jim Costa","democrat",84649,147450
"24136",2012,"California",16,"Brian Daniel Whelan","republican",62801,147450
"24137",2012,"California",17,"Evelyn Li","republican",57336,216728
"24138",2012,"California",17,"Michael M. Honda","democrat",159392,216728
"24139",2012,"California",18,"Anna G. Eshoo","democrat",212831,301934
"24140",2012,"California",18,"Dave Chapman","republican",89103,301934
"24141",2012,"California",19,"Zoe Lofgren","democrat",162300,221613
"24142",2012,"California",19,"Robert Murray","republican",59313,221613
"24143",2012,"California",20,"Sam Farr","democrat",172996,233562
"24144",2012,"California",20,"Jeff Taylor","republican",60566,233562
"24145",2012,"California",21,"John Hernandez","democrat",49119,116283
"24146",2012,"California",21,"David G. Valadao","republican",67164,116283
"24147",2012,"California",22,"Otto Lee","democrat",81555,213941
"24148",2012,"California",22,"Devin Nunes","republican",132386,213941
"24149",2012,"California",23,"Kevin McCarthy","republican",158161,216003
"24150",2012,"California",23,"Terry Phillips","none",57842,216003
"24151",2012,"California",24,"Lois Capps","democrat",156749,284495
"24152",2012,"California",24,"Abel Maldonado","republican",127746,284495
"24153",2012,"California",25,"Lee C. Rogers","democrat",106982,236575
"24154",2012,"California",25,"Howard P. ??Buck?? McKeon","republican",129593,236575
"24155",2012,"California",26,"Julia Brownley","democrat",139072,263935
"24156",2012,"California",26,"Tony Strickland","republican",124863,263935
"24157",2012,"California",27,"Judy Chu","democrat",154191,241008
"24158",2012,"California",27,"Jack Orswell","republican",86817,241008
"24159",2012,"California",28,"Phil Jennerjahn","republican",58008,246711
"24160",2012,"California",28,"Adam B. Schiff","democrat",188703,246711
"24161",2012,"California",29,"David R. Hernandez","none",38994,150281
"24162",2012,"California",29,"Tony Cardenas","democrat",111287,150281
"24163",2012,"California",30,"Howard L. Berman","democrat",98395,247851
"24164",2012,"California",30,"Brad Sherman","democrat",149456,247851
"24165",2012,"California",31,"Bob Dutton","republican",72255,161219
"24166",2012,"California",31,"Gary G. Miller","republican",88964,161219
"24167",2012,"California",32,"David L. Miller","republican",65208,190111
"24168",2012,"California",32,"Grace F. Napolitano","democrat",124903,190111
"24169",2012,"California",33,"Henry A. Waxman","democrat",171860,318520
"24170",2012,"California",33,"Bill Bloomfield","none",146660,318520
"24171",2012,"California",34,"Stephen C. Smith","republican",20223,140590
"24172",2012,"California",34,"Xavier Becerra","democrat",120367,140590
"24173",2012,"California",35,"Joe Baca","democrat",62982,142680
"24174",2012,"California",35,"Gloria Negrete McLeod","democrat",79698,142680
"24175",2012,"California",36,"Mary Bono Mack","republican",97953,208142
"24176",2012,"California",36,"Raul Ruiz","democrat",110189,208142
"24177",2012,"California",37,"Morgan Osborne","republican",32541,239580
"24178",2012,"California",37,"Karen Bass","democrat",207039,239580
"24179",2012,"California",38,"Linda T. S_nchez","democrat",145280,215087
"24180",2012,"California",38,"Benjamin Campos","republican",69807,215087
"24181",2012,"California",39,"Edward R. Royce","republican",145607,251967
"24182",2012,"California",39,"Jay Chen","democrat",106360,251967
"24183",2012,"California",40,"Lucille Roybal-Allard","democrat",73940,125553
"24184",2012,"California",40,"David Sanchez","democrat",51613,125553
"24185",2012,"California",41,"John Tavaglione","republican",72074,175652
"24186",2012,"California",41,"Mark Takano","democrat",103578,175652
"24187",2012,"California",42,"Michael Williamson","democrat",84702,214947
"24188",2012,"California",42,"Ken Calvert","republican",130245,214947
"24189",2012,"California",43,"Maxine Waters","democrat",143123,200894
"24190",2012,"California",43,"Bob Flores","democrat",57771,200894
"24191",2012,"California",44,"Janice Hahn","democrat",99909,165898
"24192",2012,"California",44,"Laura Richardson","democrat",65989,165898
"24193",2012,"California",45,"John Campbell","republican",171417,293231
"24194",2012,"California",45,"Sukhee Kang","democrat",121814,293231
"24195",2012,"California",46,"Loretta Sanchez","democrat",95694,149815
"24196",2012,"California",46,"Jerry Hayden","republican",54121,149815
"24197",2012,"California",47,"Gary DeLong","republican",99919,230012
"24198",2012,"California",47,"Alan Lowenthal","democrat",130093,230012
"24199",2012,"California",48,"Ron Varasteh","democrat",113358,290502
"24200",2012,"California",48,"Dana Rohrabacher","republican",177144,290502
"24201",2012,"California",49,"Jerry Tetalman","democrat",114893,274618
"24202",2012,"California",49,"Darrell E. Issa","republican",159725,274618
"24203",2012,"California",50,"David B. Secor","democrat",83455,258293
"24204",2012,"California",50,"Duncan Hunter","republican",174838,258293
"24205",2012,"California",51,"Michael Crimmins","republican",45464,159398
"24206",2012,"California",51,"Juan Vargas","democrat",113934,159398
"24207",2012,"California",52,"Scott Peters","democrat",151451,295910
"24208",2012,"California",52,"Brian P. Bilbray","republican",144459,295910
"24209",2012,"California",53,"Nick Popaditch","republican",103482,268307
"24210",2012,"California",53,"Susan A. Davis","democrat",164825,268307
"24211",2012,"Colorado",1,"Gary Swing","green",4829,348210
"24212",2012,"Colorado",1,"Diana DeGette","democrat",237579,348210
"24213",2012,"Colorado",1,"Danny Stroud","republican",93217,348210
"24214",2012,"Colorado",1,"Frank Atwood","libertarian",12585,348210
"24215",2012,"Colorado",2,"Randy Luallin","libertarian",13770,421580
"24216",2012,"Colorado",2,"Jared Polis","democrat",234758,421580
"24217",2012,"Colorado",2,"Susan P. Hall","green",10413,421580
"24218",2012,"Colorado",2,"Kevin Lundberg","republican",162639,421580
"24219",2012,"Colorado",3,"Sal Pace","democrat",142619,347247
"24220",2012,"Colorado",3,"Tisha T. Casida","none",11125,347247
"24221",2012,"Colorado",3,"Scott R. Tipton","republican",185291,347247
"24222",2012,"Colorado",3,"Gregory Gilman","libertarian",8212,347247
"24223",2012,"Colorado",4,"Josh Gilliland","libertarian",10682,342336
"24224",2012,"Colorado",4,"Brandon Shaffer","democrat",125800,342336
"24225",2012,"Colorado",4,"Doug Aden","american constitution",5848,342336
"24226",2012,"Colorado",4,"Cory Gardner","republican",200006,342336
"24227",2012,"Colorado",5,"Misha Luzov","green",18284,307231
"24228",2012,"Colorado",5,"Jim Pirtle","libertarian",22778,307231
"24229",2012,"Colorado",5,"Dave Anderson","none",53318,307231
"24230",2012,"Colorado",5,"Doug Lamborn","republican",199639,307231
"24231",2012,"Colorado",5,"Kenneth R. Harvell","american constitution",13212,307231
"24232",2012,"Colorado",6,"Patrick E. Provost","libertarian",8597,342914
"24233",2012,"Colorado",6,"Kathy Polhemus","none",13442,342914
"24234",2012,"Colorado",6,"Mike Coffman","republican",163938,342914
"24235",2012,"Colorado",6,"Joe Miklosi","democrat",156937,342914
